word,valence,arousal,dominance,Publication,Political Compass/Theme
book,0.8043224299441272,0.3704974271456858,0.86407766993826,The Daily Express,Right-Wing
queen,0.6991822430233262,0.5272929068557641,0.6019417475827127,The Daily Express,Right-Wing
prepare,0.6542056075539348,0.5840480274629217,0.8058252427481383,The Daily Express,Right-Wing
new,0.7692757009705269,0.4939965695275811,0.5825242719012159,The Daily Express,Right-Wing
role,0.5233644859590357,0.4322469983366334,0.5533980583061551,The Daily Express,Right-Wing
stop,0.3457943925862521,0.7821612349824207,0.4077669903308511,The Daily Express,Right-Wing
oil,0.457943925301773,0.5145797598731056,0.4563106796074087,The Daily Express,Right-Wing
attack,0.336448598146563,1.0,0.3883495145037233,The Daily Express,Right-Wing
exhibit,0.6355140186745567,0.4734133790276825,0.6019417475827127,The Daily Express,Right-Wing
cause,0.5140186916595335,0.58177782269421,0.572815533987652,The Daily Express,Right-Wing
death,0.06542056079744958,0.7512864493869469,0.2427184465284193,The Daily Express,Right-Wing
police,0.3831775700646344,0.7821612349824207,0.3592233009086624,The Daily Express,Right-Wing
diver,0.5233644859590357,0.5025728987738938,0.3017176996894871,The Daily Express,Right-Wing
search,0.5887850467564852,0.5145797598731056,0.5922330096691487,The Daily Express,Right-Wing
river,0.794392523448336,0.2881646654548397,0.4757281552889056,The Daily Express,Right-Wing
boy,0.682242990732815,0.333190394499697,0.4781553398037043,The Daily Express,Right-Wing
video,0.6915887850323172,0.6380789022550009,0.6796116504543313,The Daily Express,Right-Wing
go,0.7476635513900777,0.5969125214095777,0.8446601942567631,The Daily Express,Right-Wing
viral,0.448598130862084,0.6586620926005254,0.3598300970737699,The Daily Express,Right-Wing
prince,0.6542056075539348,0.5042881646231564,0.5922330096691487,The Daily Express,Right-Wing
title,0.551401869137916,0.5866209263140025,0.6796116504543313,The Daily Express,Right-Wing
level,0.6448598131142457,0.4200257289869671,0.6310679611777735,The Daily Express,Right-Wing
care,0.8598130841055986,0.3190394510503134,0.6601941747728344,The Daily Express,Right-Wing
home,0.9158878504633592,0.1112778730322289,0.8737864078518238,The Daily Express,Right-Wing
resident,0.6074766354956764,0.3825042880905237,0.572815533987652,The Daily Express,Right-Wing
take,0.5327102803987247,0.5248713551230548,0.6407766990913374,The Daily Express,Right-Wing
sky,0.8043224299441272,0.3602058318957365,0.5691747572882694,The Daily Express,Right-Wing
sewage,0.224299065431042,0.5145797598731056,0.2718446601234801,The Daily Express,Right-Wing
coast,0.6915887850323172,0.3499142366457873,0.5339805824790272,The Daily Express,Right-Wing
minute,0.6261682243750546,0.3814322469926248,0.4599514563067914,The Daily Express,Right-Wing
first,0.7476635513900777,0.5969125214095777,0.7475728155580167,The Daily Express,Right-Wing
airport,0.7507788162967652,0.6033447684600929,0.3962378640675959,The Daily Express,Right-Wing
